"Schema","Analysis_Type","Normalization","Total_Tests","Has_QValues","Nominal_p05","Nominal_p01","Nominal_p001","FDR_p05","FDR_p01","FDR_p001","Q_p05","Q_p01","Q_p001","Nominal_p05_pct","Nominal_p01_pct","Nominal_p001_pct","FDR_p05_pct","FDR_p01_pct","FDR_p001_pct","Q_p05_pct","Q_p01_pct","Q_p001_pct"
"1_demoWAS_clr","1_demoWAS","clr",17537,TRUE,11493,9775,6122,11055,8443,5370,13742,11425,7969,65.54,55.74,34.91,63.04,48.14,30.62,78.36,65.15,45.44
"1_demoWAS_lognorm","1_demoWAS","lognorm",17537,TRUE,1023,810,619,669,553,404,689,577,432,5.83,4.62,3.53,3.81,3.15,2.3,3.93,3.29,2.46
"1_demoWAS_none","1_demoWAS","none",16479,TRUE,1170,705,466,505,363,227,724,505,307,7.1,4.28,2.83,3.06,2.2,1.38,4.39,3.06,1.86
"1_demoWAS_hellinger","1_demoWAS","hellinger",16479,TRUE,1721,1112,764,885,662,460,1128,820,537,10.44,6.75,4.64,5.37,4.02,2.79,6.85,4.98,3.26
"2_oradWAS_clr","2_oradWAS","clr",5396,TRUE,3893,2910,1909,3388,2672,1753,5288,4326,2837,72.15,53.93,35.38,62.79,49.52,32.49,98,80.17,52.58
"2_oradWAS_lognorm","2_oradWAS","lognorm",5396,TRUE,1450,206,160,166,132,101,166,132,101,26.87,3.82,2.97,3.08,2.45,1.87,3.08,2.45,1.87
"2_oradWAS_none","2_oradWAS","none",4642,TRUE,2553,2261,2065,2394,2171,2017,2815,2357,2103,55,48.71,44.49,51.57,46.77,43.45,60.64,50.78,45.3
"2_oradWAS_hellinger","2_oradWAS","hellinger",4642,TRUE,2516,2263,2102,2384,2187,2052,2691,2322,2115,54.2,48.75,45.28,51.36,47.11,44.21,57.97,50.02,45.56
"3_exWAS_clr","3_exWAS","clr",638077,TRUE,95122,42970,18470,22108,12425,7709,25429,12788,7926,14.91,6.73,2.89,3.46,1.95,1.21,3.99,2,1.24
"3_exWAS_lognorm","3_exWAS","lognorm",638077,TRUE,70981,32627,20169,22420,18012,11624,23882,18306,11764,11.12,5.11,3.16,3.51,2.82,1.82,3.74,2.87,1.84
"3_exWAS_none","3_exWAS","none",468080,TRUE,11195,3940,1342,512,282,162,862,432,220,2.39,0.84,0.29,0.11,0.06,0.03,0.18,0.09,0.05
"3_exWAS_hellinger","3_exWAS","hellinger",468080,TRUE,17526,6478,2357,1181,698,370,1880,944,496,3.74,1.38,0.5,0.25,0.15,0.08,0.4,0.2,0.11
"4_pheWAS_clr","4_pheWAS","clr",179417,TRUE,15935,4985,1016,172,12,0,327,33,0,8.88,2.78,0.57,0.1,0.01,0,0.18,0.02,0
"4_pheWAS_lognorm","4_pheWAS","lognorm",179417,TRUE,10555,3992,377,32,11,0,46,11,0,5.88,2.22,0.21,0.02,0.01,0,0.03,0.01,0
"4_pheWAS_none","4_pheWAS","none",146593,TRUE,68898,51295,36019,58290,41405,31894,73347,50974,34617,47,34.99,24.57,39.76,28.24,21.76,50.03,34.77,23.61
"4_pheWAS_hellinger","4_pheWAS","hellinger",146593,TRUE,57022,40951,28189,44572,31207,24245,54515,36599,25775,38.9,27.94,19.23,30.41,21.29,16.54,37.19,24.97,17.58
"5_outWAS_clr","5_outWAS","clr",21584,TRUE,5394,1876,642,845,285,86,971,325,97,24.99,8.69,2.97,3.91,1.32,0.4,4.5,1.51,0.45
"5_outWAS_lognorm","5_outWAS","lognorm",21584,TRUE,1838,203,51,6,5,4,6,5,4,8.52,0.94,0.24,0.03,0.02,0.02,0.03,0.02,0.02
"5_outWAS_none","5_outWAS","none",19188,TRUE,12356,11546,10785,12038,11379,10623,12632,11663,10837,64.39,60.17,56.21,62.74,59.3,55.36,65.83,60.78,56.48
"5_outWAS_hellinger","5_outWAS","hellinger",19188,TRUE,12303,11459,10727,11963,11275,10595,12571,11552,10755,64.12,59.72,55.9,62.35,58.76,55.22,65.51,60.2,56.05
